epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,355.124,1.92358,3.23748,1.18821,0.37618,0.28361,0.32957,0.19212,1.54876,1.94959,1.0685,0.00142859,0.000476197,0.00142859,0.000476197,0.00142859,0.000476197,0.00142859,0.000476197
2,654.417,1.67545,1.80564,1.07386,0.45754,0.4856,0.44175,0.25391,1.4729,1.51304,1.04819,0.00257469,0.00085823,0.00257469,0.00085823,0.00257469,0.00085823,0.00257469,0.00085823
3,947.811,1.59779,1.53305,1.04835,0.66941,0.58549,0.64026,0.36054,1.43044,1.32301,1.03665,0.00343785,0.00114595,0.00343785,0.00114595,0.00343785,0.00114595,0.00343785,0.00114595
4,1237.55,1.54729,1.37511,1.0348,0.77493,0.62433,0.71031,0.4093,1.40659,1.19237,1.03735,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
5,1524.94,1.52212,1.27126,1.02226,0.8051,0.62524,0.72535,0.4206,1.37364,1.113,1.02652,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
6,1813.78,1.48742,1.19317,1.01419,0.81227,0.65413,0.75108,0.44523,1.35274,1.0521,1.01327,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
7,2104.63,1.46366,1.14403,1.00205,0.83274,0.65909,0.76842,0.45569,1.34643,1.04765,1.00974,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
8,2394.43,1.43415,1.09494,0.99482,0.81967,0.67427,0.76553,0.4564,1.33535,1.01948,1.00449,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
9,2676.71,1.42924,1.08096,0.98669,0.83832,0.67023,0.77121,0.46533,1.32499,0.99092,1.00287,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
10,2961.9,1.40291,1.04409,0.98681,0.84161,0.67146,0.77817,0.46613,1.32466,0.9769,0.99788,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
