epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,299.623,1.41715,1.16696,1.07861,0.86321,0.75113,0.84406,0.51318,1.28337,0.89929,1.03436,0.00142818,0.000476061,0.00142818,0.000476061,0.00142818,0.000476061,0.00142818,0.000476061
2,480.282,1.40526,1.12455,1.06888,0.86932,0.7607,0.85547,0.51432,1.28253,0.9036,1.02908,0.00280061,0.000933537,0.00280061,0.000933537,0.00280061,0.000933537,0.00280061,0.000933537
3,653.325,1.38343,1.10363,1.06179,0.85461,0.7791,0.85993,0.51358,1.28595,0.89065,1.02954,0.00411645,0.00137215,0.00411645,0.00137215,0.00411645,0.00137215,0.00411645,0.00137215
4,829.687,1.39723,1.08533,1.06771,0.87702,0.77227,0.8612,0.5235,1.28228,0.86361,1.026,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
5,1002.26,1.38693,1.05987,1.05983,0.87791,0.79047,0.8713,0.52443,1.27978,0.85401,1.02684,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
6,1174.02,1.36758,1.0121,1.05331,0.88993,0.79454,0.88112,0.54105,1.26147,0.80574,1.024,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
7,1347.22,1.37067,1.01209,1.06007,0.86825,0.79391,0.87322,0.53486,1.25342,0.80565,1.01504,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
8,1519.04,1.35074,0.97687,1.05421,0.90639,0.81367,0.89229,0.54493,1.25298,0.78101,1.01671,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,1692.94,1.35006,0.94321,1.04749,0.91449,0.79462,0.88525,0.54344,1.24838,0.76778,1.01383,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,1864.27,1.34116,0.94487,1.04914,0.89932,0.79981,0.88127,0.54318,1.23238,0.76403,1.0113,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
11,2036.01,1.33483,0.9293,1.03984,0.90994,0.81201,0.89559,0.55452,1.23326,0.74268,1.01203,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
12,2207.02,1.32591,0.91221,1.04593,0.89678,0.80762,0.88261,0.55086,1.24056,0.74701,1.01692,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,2378.41,1.3341,0.8964,1.04638,0.88497,0.82847,0.89014,0.5529,1.23369,0.72415,1.01183,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
14,2551.67,1.32584,0.88411,1.03811,0.88467,0.82962,0.90042,0.55867,1.2286,0.73013,1.0062,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,2725.58,1.30945,0.87055,1.0311,0.90129,0.81701,0.89676,0.56202,1.2293,0.71711,1.01,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
